Name,Year,TOT_P,TOT_M,TOT_F,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
Sabar Kantha,2001,2082531,1333749,1012977,1171555,721203,450352,910976,348351,562625,107022,70925,36097,940437,559204,381233,1142094,510350,631744
Rupnagar,2001,1116108,1395175,519526,760067,434213,325854,356041,162369,193672,27353,23814,3539,437343,313718,123625,678765,282864,395901
Rudraprayag,2001,227439,2027140,119904,141078,80080,60998,86361,27455,58906,219,117,102,102033,45504,56529,125406,62031,63375
Rohtas,2001,2450748,4214505,1167263,1205287,779613,425674,1245461,503872,741589,162605,133874,28731,744183,586312,157871,1706565,697173,1009392
Rohtak,2001,940128,2349366,431090,592485,360566,231919,347643,148472,199171,21394,14782,6612,371073,251096,119977,569055,257942,311113
Ri Bhoi,2001,192790,373372,93471,98754,53494,45260,94036,45825,48211,10556,6637,3919,89407,51439,37968,103383,47880,55503
Rewari,2001,765351,1183295,362317,488190,299560,188630,277161,103474,173687,9148,6458,2690,333622,200400,133222,431729,202634,229095
Rewa,2001,1973306,2084814,956619,991410,621967,369443,981896,394720,587176,178637,106813,71824,862959,502107,360852,1110347,514580,595767
Rayagada,2001,831109,1306673,421317,247829,162061,85768,583280,247731,335549,76428,45150,31278,399184,225367,173817,431925,184425,247500
Ratnagiri,2001,1696777,1081441,902279,1095833,578330,517503,600944,216168,384776,45128,24222,20906,763387,406780,356607,933390,387718,545672
Ratlam,2001,1215393,1647201,594531,672715,406791,265924,542678,214071,328607,70964,40080,30884,547852,332568,215284,667541,288294,379247
Rangareddi,2001,3575064,1964835,1735837,2034381,1192100,842281,1540683,647127,893556,211789,93160,118629,1437606,981312,456294,2137458,857915,1279543
Ranchi,2001,2785064,1346336,1348088,1500541,920164,580377,1284523,516812,767711,64358,39941,24417,1076904,684022,392882,1708160,752954,955206
Rampur,2001,1923739,3618589,899964,591351,393597,197754,1332388,630178,702210,94794,89705,5089,544411,482282,62129,1379328,541493,837835
Ramanathapuram,2001,1187604,6895514,604228,757344,421041,336303,430260,162335,267925,76010,37388,38622,520573,320700,199873,667031,262676,404355
Rajsamand,2001,987024,1021653,493565,449046,296250,152796,537978,197209,340769,16634,10023,6611,401858,253703,148155,585166,239756,345410
Rajnandgaon,2001,1283224,NA,648882,823076,457505,365571,460148,176837,283311,114081,49709,64372,649401,342093,307308,633823,292249,341574
